Gene,m1,m2,m3,m4,m5,m6,m7,m8,m9
Kdm5c,323.1304013,371.8339962,360.9285245,448.8565475,478.8682578,512.8670186,481.5427934,466.9233606,426.3552948
Kdm5d,324.0510007,265.742856,322.0260488,235.4343511,381.3843624,252.0624836,243.090967,273.7406637,287.2822582
Kdm6a,355.3513814,283.2530442,297.1716893,176.0972383,324.9463178,259.3475264,292.2658573,290.9472197,275.1006783
Kdm6b,57.99776433,48.41052029,66.99870814,62.20826351,98.33901722,155.8999176,80.7210463,96.20029038,86.28619062
Kdm8,37.74457679,26.78028782,10.80624325,16.26985353,11.97170644,17.48410291,17.62873425,32.06676346,23.34802805
Kdr,60.75956263,65.92070848,64.83745949,68.90761497,134.2541366,49.53829157,57.52534334,94.63605801,76.13487407
Kdsr,138.0899151,141.1115166,183.7061352,177.0542885,153.92194,211.2662434,218.9674359,240.1096679,262.9190985
Keap1,276.1798301,297.6731992,329.5904191,347.4092255,287.3209547,294.3157322,305.2554509,321.4497508,270.02502
Keg1,0,0,0,0,0,0,0,0,0
Kel,0,0,0,0,0,0,0,0,1.015131654
Kera,0,0,0,0,0,0,0,0,0
Khdc1a,0,0,0,0,0,0,0,0,0
Khdc1b,0,0,0,0,0,0,0,0,0
Khdc1c,0,0,0,0,0,0,0,0,0
Khdc3,2.761798301,1.03001107,3.241872975,2.871150624,3.420487556,1.457008575,4.639140592,3.128464728,0
Khdrbs1,209.8966709,251.3227011,218.2861136,267.017008,294.1619298,440.0165898,367.4199349,322.231867,336.0085776
Khdrbs2,96.66294055,44.29047601,66.99870814,67.95056476,98.33901722,81.59248023,72.37059323,45.36273855,46.6960561
Khdrbs3,936.2496242,1173.182609,1037.399352,1082.423785,577.207275,810.096768,723.7059323,753.9599994,784.6967688
Khk,4.602997169,8.240088559,14.04811622,17.22690374,7.696097,17.48410291,15.77307801,12.51385891,19.28750143
Khnyn,90.21874451,87.55094094,96.17556491,83.26336809,74.39560433,64.10837732,77.93756194,96.98240656,105.573692
Khsrp,230.1498585,301.7932435,289.6073191,359.8508782,323.236074,472.0707785,395.2547784,349.6059333,360.3717373
Kidins220,3276.413385,3181.704195,3220.260488,2648.157925,3264.855372,3563.842976,3135.131212,2993.940744,3094.121282
Kif11,34.98277848,29.87032103,17.2899892,11.48460249,9.406340778,13.11307718,19.48439049,13.29597509,23.34802805
Kif12,0,0,0,0,0,0,0,0,1.015131654
Kif13a,179.5168896,224.5424132,191.2705055,146.4286818,163.3282808,176.2980376,231.0292015,256.5341077,249.722387
Kif13b,268.8150347,389.3441844,379.299138,266.0599578,265.0877856,295.7727408,373.9147317,469.2697092,450.7184545
Kif14,3.682397735,4.12004428,2.16124865,2.871150624,0.855121889,8.742051453,3.711312473,3.128464728,3.045394963
Kif15,11.04719321,9.270099629,5.403121624,1.914100416,11.11658456,2.914017151,5.56696871,2.346348546,7.10592158
Kif16b,112.3131309,129.7813948,143.7230352,87.09156892,84.657067,119.4747032,104.8445774,146.255726,117.7552719
Kif17,68.1243581,70.04075276,71.32120544,72.7358158,88.93267644,115.1036775,123.4011397,75.86526965,94.40724385
Kif18a,26.69738358,10.3001107,19.45123785,2.871150624,3.420487556,5.828034302,13.91742178,8.603278001,7.10592158
Kif18b,2.761798301,2.06002214,6.483745949,0.957050208,0.855121889,0,6.494796828,1.564232364,4.060526617
Kif19a,20.25318754,17.51018819,10.80624325,15.31280333,16.24731589,16.02709433,12.98959366,30.5025311,18.27236978
Kif1a,5105.64446,5743.341726,5536.038416,6717.535409,5949.082981,6929.532785,5979.852223,5783.749165,5550.739886
Kif1b,4511.857825,5421.978272,5169.70677,4876.170809,4780.986481,7545.847412,6399.230532,6236.594435,6620.688649
Kif1c,347.0659865,444.9647822,462.507211,461.2982002,462.6209419,731.4183049,537.2124805,619.4360161,652.7296537
Kif20a,11.96779264,16.48017712,8.644994599,9.570502079,5.985853222,13.11307718,1.855656237,4.692697092,11.1664482
Kif20b,19.33258811,8.240088559,4.322497299,1.914100416,2.565365667,5.828034302,6.494796828,3.91058091,7.10592158
Kif21a,1013.579977,1025.891026,1030.915606,839.3330323,1137.312112,1752.781316,1479.885849,1417.194522,1429.305369
Kif21b,264.2120375,354.3238081,391.1860056,402.9181375,357.4409496,528.8941129,321.9563571,370.7230702,315.7059445
Kif22,10.12659377,8.240088559,6.483745949,6.699351455,15.392194,7.285042877,9.278281183,9.385394183,6.090789926
Kif23,3.682397735,4.12004428,5.403121624,2.871150624,4.275609444,7.285042877,4.639140592,5.474813274,2.030263309
Kif24,4.602997169,9.270099629,3.241872975,0.957050208,0.855121889,7.285042877,2.783484355,7.039045637,9.136184889
Kif26a,42.34757396,38.11040959,38.90247569,45.93840998,35.05999744,30.59718009,35.2574685,43.01639001,43.65066114
Kif26b,101.2659377,92.70099629,128.5942947,123.4594768,197.5331563,243.3204321,241.2353108,183.7973028,193.890146
Kif27,28.53858245,24.72026568,28.09623245,12.4416527,16.24731589,23.31213721,29.69049979,25.809834,55.83224099
Kif2a,212.6584692,261.6228118,248.5435947,142.600481,277.9146139,431.2745383,323.8120133,332.3993773,328.902656
Kif2b,0,0,0,0,0,0,0,0,0
Kif2c,1.841198868,1.03001107,5.403121624,2.871150624,0.855121889,4.371025726,0,7.039045637,4.060526617
Kif3a,802.7627063,773.5383135,680.7933247,600.0704804,722.5779961,903.3453168,829.4783378,850.1602898,889.2553292
Kif3b,412.4285463,531.4857121,447.3784705,530.2058152,495.9706956,671.6809533,617.9335268,574.0732775,575.579648
Kif3c,1303.568798,1489.396007,1375.634766,1874.861357,1533.233547,1588.139347,1512.359833,1339.76502,1354.185627
Kif4,25.77678415,14.42015498,6.483745949,4.78525104,5.985853222,5.828034302,8.350453065,6.256929455,12.18157985
Kif4-ps,0,0,0,0,0,0,0,0,0
Kif5a,9524.521742,11060.25887,9795.859505,9086.234674,5729.316656,7414.716641,7861.487647,9074.894059,9507.723074
Kif5b,1951.6708,1817.969538,1908.382558,856.5599361,1817.989136,1805.233625,1836.171846,1892.72116,2014.021202
Kif5c,6577.682955,6925.794434,6330.297295,5644.682126,6663.96488,8239.383494,7536.747805,6705.082028,7833.770976
Kif6,25.77678415,22.66024354,18.37061352,21.05510457,10.26146267,18.94111148,14.84524989,28.15618255,46.6960561
Kif7,17.49138924,18.54019926,19.45123785,11.48460249,13.68195022,14.57008575,18.55656237,23.46348546,17.25723812
Kif9,19.33258811,21.63023247,14.04811622,14.35575312,16.24731589,18.94111148,25.0513592,41.45215764,51.77171437
Kifap3,1409.437733,1610.937313,1542.050912,1617.414851,1558.032082,1978.617646,1918.748549,1674.510746,1963.264619
Kifc1,0,1.03001107,1.080624325,0.957050208,0,2.914017151,0,0,1.015131654
Kifc2,1905.640828,1658.317823,1907.301933,1871.033156,1676.038902,1474.492678,1316.5881,1338.982903,1197.855352
Kifc3,301.9566143,270.8929114,332.8322921,294.771464,227.4624224,185.0400891,247.7301076,229.9421575,208.1019891
Kifc5b,2.761798301,1.03001107,1.080624325,0,0,1.457008575,2.783484355,0,1.015131654
Kin,50.63296886,52.53056457,50.78934327,35.41085769,53.872679,48.08128299,63.09231205,73.5189211,53.80197768
