"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"E4f1",96.8021460683352,0.00801354482856222,0.219356225046138,0.036532105833225,0.970858079035339,0.986630646605199
"E530001F21Rik",1.23522507344221,1.32027373664267,1.95910034494342,0.673918383022288,0.500363204166257,NA
"E530011L22Rik",46.7808774405012,-0.144029863156313,0.341925285912701,-0.421231974031561,0.673585698469233,0.830760649071884
"Eaf1",99.3874071317795,0.387540568529125,0.221232078043689,1.75173768630693,0.0798189234936088,0.243264925227659
"Eaf2",2.59409816477553,0.190856956236898,1.29008625237668,0.14794123717332,0.882389143702739,NA
"Eapp",126.058193850287,0.288677361125509,0.210007965929644,1.37460195782393,0.169254881314175,0.385278012260468
"Ear5",0.864830181781796,0.000819438356113839,2.24511234123645,0.000364987685053902,0.999708781967678,NA
"Ears2",47.1642770958338,-0.532742831471355,0.306132232382915,-1.74023763301406,0.0818173000936193,0.247254837945441
"Ebag9",72.3558086813976,0.395217218933796,0.255643030910879,1.54597298242632,0.122111092939367,0.317386632868909
"Ebf1",13.8244311161343,0.483877979336463,0.624929556715551,0.774292036817055,0.438758111718536,NA
"Ebf2",0.74037296229374,0.893976235052355,2.52936795441423,0.353438586699968,0.723759662053116,NA
"Ebf3",6.66382878241195,0.708328797620039,0.866743659553675,0.817229857769931,0.413797082584478,NA
"Ebf4",34.6879303954571,0.0686837447692712,0.358252947736577,0.191718575389851,0.847962654837788,0.928175727228951
"Ebi3",1.85396089459878,1.32036482268656,1.49182516105584,0.88506673379344,0.376120640030829,NA
"Ebna1bp2",201.12787834096,-0.271314442985155,0.186009162381778,-1.45860794979707,0.144673044292323,0.351128954004316
"Ebp",69.2600328555693,-0.376761325739845,0.254750224096029,-1.47894404048816,0.139155271490745,0.34332747296293
"Ebpl",45.9397345921003,-0.166850514131266,0.324603554487792,-0.514013207263081,0.607242756834475,0.787513547407493
"Ecd",251.600501222358,-0.290199385829118,0.18215050183846,-1.5931846626834,0.111118770879043,0.299252406566328
"Ece1",243.935589324702,0.000558055962145265,0.166635073079409,0.00334897060884251,0.997327913051468,0.998606738515253
"Ece2",161.583179692317,-0.146747411553085,0.250363372413231,-0.58613770112856,0.557782982715704,0.751260836892625
"Ecel1",3.82868131356302,0.63525951762568,1.04463982881528,0.608113437859368,0.54311224033946,NA
"Ech1",230.955906979362,-0.409429482851112,0.172748361741194,-2.37009184182311,0.0177836671259504,0.0908608842783363
"Echdc1",163.245736827441,-0.0258913474024811,0.195115964340542,-0.132697226954183,0.894432836041009,0.952998920520629
"Echdc2",61.8448556984872,-0.887202779788577,0.371026123050254,-2.39121378434157,0.0167927714980772,0.0872161799407882
"Echdc3",4.07517527232796,1.24726277923505,1.05374225474459,1.18365072067587,0.236551353708246,NA
"Echs1",274.18456157914,-0.354604683837781,0.162691061993079,-2.17961994650245,0.0292856450022543,0.125627101105219
"Eci1",76.5295196727151,-0.266963434064169,0.280110462663419,-0.953064842797223,0.340557217833338,0.575175878253344
"Eci2",103.325033379942,-0.518578312465868,0.23572601601256,-2.1999197256116,0.0278125909324239,0.121262462571594
"Ecm1",9.00620466184929,1.1792895594161,0.703041216097313,1.67741169708729,0.093462003610949,NA
